2018-06-11 12:19:23 [py.warnings] WARNING: /home/moma/Documents/spider/coupon_new/coupon/coupon/pipelines.py:18: ScrapyDeprecationWarning: Module `scrapy.log` has been deprecated, Scrapy now relies on the builtin Python library for logging. Read the updated logging entry in the documentation to learn more.
  from scrapy import log

2018-06-11 12:21:10 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1005999117959655424, status code 429
2018-06-11 12:21:10 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006018877191589888, status code 429
2018-06-11 12:21:10 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006022031597588480, status code 429
2018-06-11 12:21:10 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006099263124836352, status code 429
2018-06-11 12:21:10 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006138922945019905, status code 429
2018-06-11 12:21:10 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006119270940585985, status code 429
2018-06-11 12:21:10 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006045901817810944, status code 429
2018-06-11 12:21:10 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006159224429334528, status code 429
2018-06-11 12:21:10 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006064826043568128, status code 429
2018-06-11 12:21:10 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1005993615083167745, status code 429
2018-06-11 12:21:10 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006118457790947328, status code 429
2018-06-11 12:21:10 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006093855836524544, status code 429
2018-06-11 12:21:10 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006089253904887809, status code 429
2018-06-11 12:21:10 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006099266262261760, status code 429
2018-06-11 12:21:10 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006126839104974849, status code 429
2018-06-11 12:21:10 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006116282683441153, status code 429
2018-06-11 12:21:11 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006074101243482112, status code 429
2018-06-11 12:21:11 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006051842034290689, status code 429
2018-06-11 12:21:11 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006103465909735424, status code 429
2018-06-11 12:21:11 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006048010374139904, status code 429
2018-06-11 12:21:11 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006045411923120128, status code 429
2018-06-11 12:21:11 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006142161597890560, status code 429
2018-06-11 12:21:11 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006138097757753344, status code 429
2018-06-11 12:21:11 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006164786021838848, status code 429
2018-06-11 12:21:11 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006087407215800321, status code 429
2018-06-11 12:21:12 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006105244282040320, status code 429
2018-06-11 12:21:12 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006067230021423104, status code 429
2018-06-11 12:21:12 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006037795595530240, status code 429
